Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
30-instance-3, 30, 7, 0.002,0.025,0.285,28,6,8e-05,0.285714,0.2,
30-instance-4, 30, 0, 0.04,0.433,0,31,0,1,-nan(ind),1,
30-instance-5, 30, 15, 0.016,0.124,0.376,30,15,2.28366e-18,0.0666667,0.0666667,
30-instance-6, 30, 10, 0.021,0.386,1.285,26,8,0.00303407,0.6,0.333333,
30-instance-7, 30, 2, 0.003,0.038,0.105,30,2,0.25,0.5,0.5,
30-instance-8, 30, 8, 0.03,0.999,0.27,30,8,5.96046e-08,0.125,0.125,
30-instance-9, 30, 15, 0.019,0.824,1.302,26,11,9.32556e-11,0.266667,0.142857,
30-instance-10, 30, 13, 0.007,0.143,0.752,25,9,2.18945e-08,0.307692,0.166667,
30-instance-11, 30, 4, 0.004,0.055,0.123,30,4,0.316406,0.75,0.75,
30-instance-12, 30, 17, 0.018,0.124,1.074,26,12,4.6155e-16,0.176471,0.0833333,
30-instance-13, 30, 5, 0.027,1.263,0.146,29,4,0.00925926,0.4,0.333333,
30-instance-14, 30, 14, 0.015,0.321,0.424,26,11,1.15108e-12,0.142857,0.125,
30-instance-15, 30, 9, 0.015,0.555,0.453,29,8,6.20181e-07,0.222222,0.166667,
30-instance-16, 30, 0, 0.039,0.697,0,31,0,1,-nan(ind),1,
30-instance-17, 30, 3, 0.003,0.043,0.08,30,3,0.296296,0.666667,0.666667,
30-instance-18, 30, 13, 0.019,0.382,0.721,26,9,1.71051e-05,0.538462,0.2,
30-instance-19, 30, 21, 0.039,0.484,1.352,24,16,3.22647e-15,0.285714,0.111111,
30-instance-20, 30, 7, 0.03,0.258,0.307,28,6,8e-05,0.285714,0.2,
30-instance-21, 30, 4, 0.002,0.031,0.084,28,2,0.0625,0.5,0.5,
30-instance-22, 30, 17, 0.018,0.467,0.828,26,13,4.90848e-16,0.176471,0.0833333,
30-instance-23, 30, 11, 0.028,0.381,1.413,24,9,0.00081,0.545455,0.4,
30-instance-24, 30, 13, 0.061,0.655,1.173,23,12,2.42853e-06,0.384615,0.285714,
30-instance-25, 30, 15, 0.04,0.439,1.113,26,13,9.95824e-13,0.2,0.111111,
30-instance-26, 30, 6, 0.024,0.175,0.181,30,6,2.14335e-05,0.166667,0.166667,
