Name, Wrongly classified, |M|, time partition, time greedy partition, Agents
40-instance-20, 0, 0, 0.099, 0.006
40-instance-21, 1, 19, 0.377, 0.187, 17
40-instance-22, 1, 8, 0.107, 0.03, 24
40-instance-23, 2, 19, 0.401, 0.164, 17, 33
40-instance-24, 1, 13, 0.027, 0.017, 14
40-instance-25, 0, 5, 0.404, 0.049
40-instance-26, 3, 9, 0.149, 0.044, 27, 30, 31
40-instance-27, 0, 20, 0.196, 0.162
40-instance-28, 3, 9, 0.277, 0.063, 12, 17, 35
40-instance-29, 2, 18, 0.371, 0.184, 9, 39
40-instance-30, 0, 21, 0.389, 0.251
40-instance-31, 0, 17, 0.391, 0.202
40-instance-32, 3, 20, 0.504, 0.193, 22, 25, 36
40-instance-33, 0, 19, 0.4, 0.206
40-instance-34, 3, 18, 0.615, 0.239, 7, 34, 36
40-instance-35, 1, 14, 0.276, 0.091, 10
40-instance-36, 0, 17, 0.329, 0.164
40-instance-37, 2, 18, 0.465, 0.183, 5, 20
40-instance-38, 3, 23, 0.521, 0.21, 0, 15, 16
40-instance-39, 0, 4, 0.011, 0.003
40-instance-40, 2, 11, 0.189, 0.049, 0, 16
40-instance-41, 0, 2, 0.31, 0.034
40-instance-42, 2, 16, 0.331, 0.087, 2, 23
40-instance-43, 0, 9, 0.094, 0.062
40-instance-44, 3, 18, 0.288, 0.124, 20, 34, 35
40-instance-45, 0, 18, 0.245, 0.178
40-instance-46, 0, 14, 0.28, 0.139
40-instance-47, 0, 12, 0.112, 0.046
40-instance-48, 2, 23, 0.026, 0.041, 1, 8
40-instance-49, 0, 14, 0.133, 0.083
40-instance-50, 4, 22, 0.406, 0.199, 0, 4, 7, 26
40-instance-51, 0, 26, 0.164, 0.16
40-instance-52, 0, 18, 0.466, 0.288
40-instance-53, 1, 8, 0.421, 0.066, 4
40-instance-54, 3, 13, 0.326, 0.049, 24, 27, 37
40-instance-55, 0, 15, 0.313, 0.146
40-instance-56, 1, 21, 0.545, 0.312, 8
40-instance-57, 1, 16, 0.446, 0.268, 8
40-instance-58, 1, 18, 0.674, 0.265, 20
40-instance-59, 0, 9, 0.368, 0.092
40-instance-60, 4, 17, 0.479, 0.207, 0, 15, 30, 31
40-instance-61, 0, 8, 0.159, 0.054
40-instance-62, 3, 15, 0.591, 0.173, 17, 22, 27
40-instance-63, 1, 14, 0.271, 0.102, 22
40-instance-64, 0, 14, 0.026, 0.02
40-instance-65, 3, 5, 0.088, 0.013, 0, 27, 31
50-instance-1, 0, 8, 0.339, 0.119
50-instance-2, 0, 19, 0.733, 0.322
50-instance-3, 1, 27, 0.494, 0.268, 2
50-instance-4, 0, 18, 0.747, 0.693
50-instance-5, 1, 18, 0.528, 0.228, 10
50-instance-6, 1, 8, 0.619, 0.116, 19
50-instance-7, 0, 13, 0.797, 0.276
50-instance-8, 0, 23, 0.618, 0.275
50-instance-9, 4, 21, 0.575, 0.228, 8, 10, 24, 29
50-instance-10, 0, 9, 0.296, 0.126
50-instance-11, 4, 19, 0.855, 0.264, 8, 10, 38, 42
50-instance-12, 0, 19, 0.426, 0.148
50-instance-13, 7, 32, 0.601, 0.361, 7, 25, 31, 33, 42, 46, 49
50-instance-14, 1, 11, 0.399, 0.133, 33
50-instance-15, 0, 22, 0.444, 0.175
50-instance-16, 3, 30, 0.84, 0.464, 2, 11, 28
50-instance-17, 3, 20, 0.404, 0.198, 4, 12, 45
50-instance-18, 0, 13, 0.291, 0.084
50-instance-19, 4, 19, 0.498, 0.152, 8, 9, 17, 41
50-instance-20, 1, 23, 0.526, 0.275, 27
50-instance-21, 0, 16, 0.295, 0.185
50-instance-22, 0, 9, 0.72, 0.146
50-instance-23, 2, 27, 0.66, 0.311, 4, 47
50-instance-24, 0, 29, 0.512, 0.281
50-instance-25, 6, 16, 0.435, 0.099, 5, 6, 32, 33, 35, 40
50-instance-26, 1, 11, 0.514, 0.129, 41
50-instance-27, 4, 24, 0.475, 0.228, 1, 3, 6, 35
50-instance-28, 0, 15, 0.922, 0.227
50-instance-29, 8, 14, 0.507, 0.074, 1, 6, 8, 9, 13, 17, 23, 40
50-instance-30, 2, 6, 0.79, 0.064, 1, 10
50-instance-31, 0, 17, 0.339, 0.133
50-instance-32, 3, 14, 0.69, 0.167, 18, 34, 43
50-instance-33, 0, 4, 0.647, 0.065
50-instance-34, 0, 17, 0.883, 0.326
50-instance-35, 2, 6, 0.856, 0.098, 30, 48
50-instance-36, 0, 20, 0.743, 0.272
