Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
30-instance-3, 30, 7, 0.002,0.018,0.018,28,1,0,0.285714,0,
30-instance-4, 30, 0, 0.01,0.156,0,31,1,0,0,1,
30-instance-5, 30, 15, 0.009,0.042,0.027,30,1,0,0.0666667,0,
30-instance-6, 30, 10, 0.01,0.101,0.032,26,1,0,0.6,0,
30-instance-7, 30, 2, 0.001,0.011,0.026,30,2,0.5,0.5,0.5,
30-instance-8, 30, 8, 0.011,0.196,0.024,30,1,0,0.125,0,
30-instance-9, 30, 15, 0.012,0.174,0.043,26,1,0,0.266667,0,
30-instance-10, 30, 13, 0.003,0.05,0.032,25,1,0,0.307692,0,
30-instance-11, 30, 4, 0.002,0.025,0.078,30,24,0.75,0.75,0.75,
30-instance-12, 30, 17, 0.021,0.062,0.015,26,1,0,0.176471,0,
30-instance-13, 30, 5, 0.008,0.126,0.026,29,1,0,0.4,0,
30-instance-14, 30, 14, 0.01,0.163,0.023,26,1,0,0.142857,0,
30-instance-15, 30, 9, 0.015,0.271,0.028,29,1,0,0.222222,0,
30-instance-16, 30, 0, 0.016,0.333,0,31,1,0,0,1,
30-instance-17, 30, 3, 0.002,0.026,0.059,30,3,0.666667,0.666667,0.666667,
30-instance-18, 30, 13, 0.014,0.211,0.026,26,1,0,0.538462,0,
30-instance-19, 30, 21, 0.015,0.238,0.037,24,1,0,0.285714,0,
30-instance-20, 30, 7, 0.008,0.096,0.025,28,1,0,0.285714,0,
30-instance-21, 30, 4, 0.001,0.012,0.047,28,24,0.493007,0.5,0.416667,
30-instance-22, 30, 17, 0.01,0.203,0.033,26,1,0,0.176471,0,
30-instance-23, 30, 11, 0.045,0.253,0.038,24,1,0,0.545455,0,
30-instance-24, 30, 13, 0.017,0.503,0.045,23,1,0,0.384615,0,
30-instance-25, 30, 15, 0.013,0.227,0.035,26,1,0,0.2,0,
30-instance-26, 30, 6, 0.009,0.076,0.023,30,1,0,0.166667,0,
30-instance-27, 30, 14, 0.017,0.274,0.024,23,1,0,0.357143,0,
30-instance-28, 30, 5, 0.004,0.09,0.042,29,1,0,0.6,0,
30-instance-29, 30, 9, 0.012,0.082,0.027,26,1,0,0.666667,0,
30-instance-30, 30, 3, 0.002,0.056,0.035,30,6,0.333333,0.333333,0.333333,
30-instance-31, 30, 6, 0.011,0.227,0.031,29,1,0,0.5,0,
30-instance-32, 30, 11, 0.003,0.096,0.018,26,1,0,0.454545,0,
30-instance-33, 30, 12, 0.009,0.209,0.079,28,1,0,0.25,0,
30-instance-34, 30, 14, 0.013,0.166,0.028,26,1,0,0.214286,0,
30-instance-35, 30, 10, 0.01,0.179,0.025,28,1,0,0.2,0,
30-instance-36, 30, 6, 0.01,0.129,0.027,28,1,0,0.666667,0,
