Name, n, |M|, time solution, time partition, time distribution, generated solutions, geometric mean, arithmetic mean, minimum selection probability
30-instance-46, 30, 21, 0.029,0.364,1.166,21,5.07246e-14,0.333333,0.12871,
30-instance-47, 30, 17, 0.023,0.342,0.887,25,1.46668e-13,0.176471,0.163704,
30-instance-48, 30, 9, 0.018,0.459,0.579,27,0.00292942,0.555556,0.331579,
30-instance-49, 30, 14, 0.014,0.343,0.455,28,1.47075e-12,0.142857,0.14,
30-instance-50, 30, 4, 0.005,0.066,0.601,28,0.0625,0.5,0.5,
40-instance-1, 40, 15, 0.021,0.434,0.979,34,4.28256e-10,0.266667,0.162,
40-instance-2, 40, 7, 0.004,0.154,0.745,39,0.0937496,0.714286,0.665882,
40-instance-3, 40, 9, 0.015,0.731,0.56,35,0.0048597,0.555556,0.497895,
40-instance-4, 40, 17, 0.028,0.957,1.59,31,2.03553e-09,0.352941,0.195185,
40-instance-5, 40, 11, 0.056,1.014,1.803,36,0.109682,0.818182,0.79619,
40-instance-6, 40, 4, 0.038,0.452,0.197,40,0.00390599,0.25,0.248571,
40-instance-7, 40, 3, 0.017,0.806,0.604,40,0.296296,0.666667,0.666154,
40-instance-8, 40, 27, 0.028,0.673,7.301,26,3.91926e-17,0.296296,0.116757,
40-instance-9, 40, 11, 0.007,0.134,0.548,35,0.000101591,0.454545,0.33,
40-instance-10, 40, 10, 0.016,0.293,1.028,35,8.5721e-05,0.4,0.33,
40-instance-11, 40, 12, 0.208,2.713,0.814,34,0.000101246,0.5,0.3,
40-instance-12, 40, 17, 0.24,5.551,7.534,32,6.77001e-09,0.411765,0.138519,
40-instance-13, 40, 11, 0.036,5.177,2.178,32,0.00111794,0.545455,0.445714,
40-instance-14, 40, 13, 0.057,4.212,4.057,34,5.2613e-09,0.230769,0.226087,
40-instance-15, 40, 18, 0.053,4.691,3.038,31,1.54075e-11,0.277778,0.173571,
40-instance-16, 40, 18, 0.147,2.158,2.328,31,1.35943e-10,0.333333,0.212143,
40-instance-17, 40, 23, 0.06,1.71,1.668,31,2.83497e-19,0.217391,0.0627273,
40-instance-18, 40, 11, 0.03,0.683,0.492,34,2.80862e-05,0.454545,0.199048,
40-instance-19, 40, 14, 0.101,1.115,0.771,31,4.35477e-06,0.428571,0.361667,
40-instance-20, 40, 0, 0.035,0.251,0,41,1,-nan(ind),1,
40-instance-21, 40, 19, 0.036,0.855,1.96,28,1.945e-08,0.421053,0.303918,
40-instance-22, 40, 8, 0.027,0.628,0.59,36,0.00274343,0.5,0.333333,
40-instance-23, 40, 19, 0.069,1.243,2.748,32,5.33879e-08,0.473684,0.176897,
40-instance-24, 40, 13, 0.005,0.159,0.895,37,1.18437e-09,0.230769,0.141304,
40-instance-25, 40, 5, 0.026,1.278,0.625,39,0.00925926,0.4,0.333333,
40-instance-26, 40, 9, 0.038,0.657,1.02,38,0.00127986,0.555556,0.246842,
40-instance-27, 40, 20, 0.102,0.565,1.102,31,2.29527e-14,0.25,0.14,
40-instance-28, 40, 9, 0.021,0.699,0.501,36,0.0204792,0.666667,0.497895,
40-instance-29, 40, 18, 0.035,0.885,3.298,30,2.14058e-08,0.388889,0.289286,
40-instance-30, 40, 21, 0.128,1.516,5.187,27,8.63795e-10,0.380952,0.298065,
40-instance-31, 40, 17, 0.05,1.426,2.079,33,1.46661e-13,0.176471,0.163704,
40-instance-32, 40, 20, 0.044,1.355,2.956,29,2.6026e-05,0.6,0.446667,
40-instance-33, 40, 19, 0.029,0.923,2.295,28,1.04369e-10,0.315789,0.196552,
40-instance-34, 40, 18, 0.066,1.537,3,35,1.29984e-10,0.388889,0.141429,
40-instance-35, 40, 14, 0.03,0.752,0.773,32,2.69643e-06,0.428571,0.268333,
40-instance-36, 40, 17, 0.047,1.07,0.949,34,1.4228e-12,0.235294,0.113333,
40-instance-37, 40, 18, 0.143,1.05,1.595,32,7.65522e-10,0.388889,0.154286,
40-instance-38, 40, 23, 0.055,1.045,4.022,29,3.27977e-12,0.391304,0.181212,
40-instance-39, 40, 4, 0.003,0.052,0.444,40,0.00390599,0.25,0.248571,
40-instance-40, 40, 11, 0.044,0.744,1.016,34,0.000106646,0.454545,0.33,
40-instance-41, 40, 2, 0.03,0.961,0.549,40,0.249997,0.5,0.498333,
40-instance-42, 40, 16, 0.272,3.991,2.72,32,8.54606e-06,0.5,0.387692,
40-instance-43, 40, 9, 0.026,0.306,0.887,37,7.93529e-07,0.222222,0.165789,
40-instance-44, 40, 18, 0.1,1.193,8.721,31,2.55697e-07,0.444444,0.331429,
40-instance-45, 40, 18, 0.082,0.583,1.248,33,5.74745e-15,0.166667,0.141429,
40-instance-46, 40, 14, 0.059,0.874,0.413,36,3.05792e-13,0.142857,0.0933333,
40-instance-47, 40, 12, 0.006,0.197,0.951,35,6.36383e-06,0.416667,0.196364,
40-instance-48, 40, 23, 0.005,0.045,1.485,36,1.52272e-26,0.0869565,0.0487879,
40-instance-49, 40, 14, 0.104,0.375,1.056,34,1.1611e-08,0.285714,0.215833,
40-instance-50, 40, 22, 0.156,1.284,1.921,30,1.11184e-11,0.409091,0.199375,
40-instance-51, 40, 26, 0.019,1.237,0.806,32,2.23925e-22,0.269231,0.0577778,
40-instance-52, 40, 18, 0.035,1.173,1.711,32,8.64846e-15,0.166667,0.148571,
40-instance-53, 40, 8, 0.032,0.941,0.325,38,0.0197743,0.625,0.497778,
40-instance-54, 40, 13, 0.016,0.584,1.958,32,0.00020247,0.538462,0.395652,
40-instance-55, 40, 15, 0.018,0.771,0.954,34,9.47299e-10,0.266667,0.198,
40-instance-56, 40, 21, 0.037,0.969,5.742,27,3.40134e-09,0.428571,0.243871,
40-instance-57, 40, 16, 0.024,0.876,2.387,33,5.01581e-11,0.3125,0.110769,
40-instance-58, 40, 18, 0.037,1.263,3.595,36,2.44403e-16,0.222222,0.0742857,
40-instance-59, 40, 9, 0.039,1,0.377,37,3.61623e-05,0.333333,0.246842,
40-instance-60, 40, 17, 0.108,0.881,1.773,33,1.26943e-07,0.470588,0.163704,
40-instance-61, 40, 8, 0.012,0.293,0.296,37,0.00274343,0.5,0.333333,
40-instance-62, 40, 15, 0.019,1.167,1.946,37,3.26478e-11,0.333333,0.096,
40-instance-63, 40, 14, 0.189,1.817,1.082,34,1.82132e-06,0.428571,0.285,
40-instance-64, 40, 14, 0.005,0.075,1.778,35,5.6157e-10,0.285714,0.113333,
40-instance-65, 40, 5, 0.006,0.144,1.174,40,0.32768,0.8,0.8,
50-instance-1, 50, 8, 0.017,0.682,0.064,50,5.95723e-08,0.125,0.124444,
50-instance-2, 50, 19, 0.037,2.125,3.246,42,9.84213e-15,0.210526,0.108966,
50-instance-3, 50, 27, 0.028,1.418,5.048,35,8.55096e-16,0.333333,0.175135,
50-instance-4, 50, 18, 0.058,1.398,0.56,43,8.84132e-16,0.166667,0.122143,
50-instance-5, 50, 18, 0.026,1.32,1.512,43,5.82723e-13,0.222222,0.186429,
50-instance-6, 50, 8, 0.026,0.933,0.261,46,0.000244102,0.375,0.248889,
50-instance-7, 50, 13, 0.031,1.49,2.965,45,5.2613e-09,0.230769,0.226087,
50-instance-8, 50, 23, 0.039,1.277,2.133,43,6.57528e-20,0.217391,0.0906061,
50-instance-9, 50, 21, 0.042,1.183,2.724,36,8.84229e-08,0.47619,0.379355,
50-instance-10, 50, 9, 0.011,0.847,0.058,50,2.57619e-09,0.111111,0.108947,
50-instance-11, 50, 19, 0.041,2.454,3.503,38,1.22969e-07,0.473684,0.268621,
50-instance-12, 50, 19, 0.041,0.991,1.834,41,1.98471e-08,0.473684,0.163793,
50-instance-13, 50, 32, 0.05,1.277,4.286,35,4.37131e-16,0.46875,0.129524,
50-instance-14, 50, 11, 0.061,1.097,0.345,45,3.30197e-07,0.272727,0.22,
50-instance-15, 50, 22, 0.018,0.948,1.668,42,8.45769e-16,0.272727,0.103125,
50-instance-16, 50, 30, 0.048,1.743,4.273,38,5.18991e-18,0.3,0.1575,
50-instance-17, 50, 20, 0.047,0.763,1.245,38,2.93731e-08,0.45,0.246667,
50-instance-18, 50, 13, 0.044,0.543,0.508,42,2.66657e-05,0.461538,0.332609,
50-instance-19, 50, 19, 0.027,0.888,2.284,43,3.06338e-08,0.473684,0.22931,
50-instance-20, 50, 23, 0.043,0.836,9.841,34,3.32756e-10,0.391304,0.327576,
50-instance-21, 50, 16, 0.019,0.679,0.837,49,9.66775e-16,0.1875,0.0738462,
50-instance-22, 50, 9, 0.031,2.273,1.484,47,7.93529e-07,0.222222,0.165789,
50-instance-23, 50, 27, 0.132,2.005,9.752,34,4.48666e-14,0.37037,0.175135,
50-instance-24, 50, 29, 0.138,1.079,3.274,33,8.44892e-19,0.275862,0.146068,
50-instance-25, 50, 16, 0.102,0.811,2.091,44,0.000886819,0.6875,0.4,
