Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_20_0.50_18, 20, 9, 0.584,23.38,4.474,41,6,0.490289,0.490476,0.471429,1.82824,7.77778,0.5,
TT_20_0.50_19, 20, 5, 0.628,19.369,2.566,41,2,0.5,0.5,0.5,7.11432,7.4,1,
TT_25_0.05_0, 25, 20, 0.119,11.872,5.836,51,15,0.483541,0.485,0.4,6.16164,7.35,1,
TT_25_0.05_1, 25, 19, 0.216,11.041,4.671,51,14,0.490101,0.490372,0.463415,6.4238,9.63158,1,
TT_25_0.05_2, 25, 22, 0.138,10.121,6.275,51,17,0.5,0.5,0.5,8.30661,9,1,
TT_25_0.05_3, 25, 21, 0.103,5.344,3.242,51,15,0.491005,0.491342,0.454545,3.80694,4.57143,0.909091,
TT_25_0.05_4, 25, 22, 0.129,7.525,5.399,51,16,0.5,0.5,0.5,5.73433,7.81818,1,
TT_25_0.05_5, 25, 23, 0.139,8.692,4.835,51,16,0.5,0.5,0.5,4.61995,5.65217,0.5,
TT_25_0.05_6, 25, 20, 0.197,12.285,5.051,51,14,0.5,0.5,0.5,4.64434,6.65,0.5,
TT_25_0.05_7, 25, 20, 0.174,10.739,8.139,51,16,0.479309,0.480952,0.404762,9.2961,10.35,1,
TT_25_0.05_8, 25, 20, 0.113,6.9,2.919,51,14,0.5,0.5,0.5,4.77094,6,0.5,
TT_25_0.05_9, 25, 20, 0.182,10.026,4.808,51,15,0.496764,0.496795,0.487179,6.33909,8.9,0.487179,
TT_25_0.05_10, 25, 21, 0.112,5.975,3.729,51,14,0.462838,0.468254,0.333333,3.42273,4,0.666667,
TT_25_0.05_11, 25, 21, 0.132,9.066,4.482,51,16,0.50963,0.510204,0.5,5.67707,6.90476,0.571429,
TT_25_0.05_12, 25, 17, 0.114,6.869,3.431,51,11,0.5,0.5,0.5,6.13066,6.82353,1,
TT_25_0.05_13, 25, 17, 0.091,5.418,2.632,51,14,0.5,0.5,0.5,7.0917,7.41176,1,
TT_25_0.05_14, 25, 23, 0.182,15.237,8.42,51,17,0.461713,0.465675,0.368421,5.32508,6.69565,0.368421,
TT_25_0.05_15, 25, 19, 0.131,9.434,4.425,51,13,0.5,0.5,0.5,6.17575,7.63158,1,
TT_25_0.05_16, 25, 21, 0.138,7.421,4.658,51,15,0.48911,0.489796,0.428571,5.57687,6.47619,1,
TT_25_0.05_17, 25, 20, 0.112,7.085,3.46,51,14,0.5,0.5,0.5,4.26283,7.95,0.5,
TT_25_0.05_18, 25, 20, 0.118,7.073,4.103,51,13,0.5,0.5,0.5,4.39782,5.45,1,
TT_25_0.05_19, 25, 23, 0.132,10.277,5.98,51,18,0.474545,0.475543,0.4375,3.6908,4.82609,0.4375,
TT_25_0.25_0, 25, 18, 2.961,64.528,19.108,51,13,0.5,0.5,0.5,9.84806,15.4444,1,
TT_25_0.25_1, 25, 15, 0.226,9.622,3.654,51,10,0.5,0.5,0.5,5.56004,6.06667,1,
TT_25_0.25_2, 25, 17, 0.262,9.786,4.503,51,12,0.5,0.5,0.5,4.47621,7.52941,0.5,
TT_25_0.25_3, 25, 16, 0.13,6.408,4.01,51,12,0.432581,0.439927,0.339806,5.83932,8.25,0.5,
TT_25_0.25_4, 25, 17, 0.935,38.326,14.585,51,10,0.5,0.5,0.5,4.30855,5.58824,0.5,
TT_25_0.25_5, 25, 12, 0.261,10.316,2.857,51,9,0.5,0.5,0.5,7.63734,8.75,1,
TT_25_0.25_6, 25, 18, 0.342,7.856,3.39,51,13,0.465118,0.469136,0.361111,4.37005,6.66667,0.5,
TT_25_0.25_7, 25, 12, 0.171,7.746,2.691,51,9,0.488227,0.488636,0.454545,5.56765,7.5,0.454545,
TT_25_0.25_8, 25, 13, 0.605,10.063,2.967,51,10,0.5,0.5,0.5,8.14252,9.30769,1,
TT_25_0.25_9, 25, 14, 1.106,21.444,6.025,51,12,0.5,0.5,0.5,17.0133,21.2143,1,
TT_25_0.25_10, 25, 15, 0.42,33.769,11.056,51,12,0.5,0.5,0.5,13.4954,16.6667,1,
TT_25_0.25_11, 25, 14, 1.286,14.34,5.72,51,8,0.5,0.5,0.5,5.57961,8,0.5,
TT_25_0.25_12, 25, 20, 0.491,7.818,3.683,51,13,0.490559,0.490909,0.454545,4.98576,5.75,1,
TT_25_0.25_13, 25, 21, 0.903,15.777,11.463,51,15,0.404393,0.416054,0.28,3.91914,7,0.4,
TT_25_0.25_14, 25, 11, 0.632,10.676,3.169,51,8,0.5,0.5,0.5,7.64425,8.63636,1,
TT_25_0.25_15, 25, 14, 0.109,5.368,2.387,51,6,0.527946,0.529954,0.5,5.99052,8.14286,1,
TT_25_0.25_16, 25, 18, 0.13,7.01,3.956,51,11,0.489521,0.489899,0.454545,4.84127,6.05556,0.5,
TT_25_0.25_17, 25, 14, 0.271,24.433,9.38,51,10,0.5,0.5,0.5,6.99528,10.1429,1,
