Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.05_9, 15, 11, 0.081,2.314,51.041,31,1000,0.495317,0.497515,0.4225,3.74448,5.13655,0.627,
TT_15_0.05_10, 15, 8, 0.043,1.333,33.28,31,1000,0.499534,0.5,0.466,2.2614,2.5,0.96,
TT_15_0.05_11, 15, 7, 0.045,1.254,33.48,31,1000,0.496601,0.496786,0.474,3.00187,3.26,1,
TT_15_0.05_12, 15, 9, 0.05,1.592,37.915,31,1000,0.499458,0.5,0.46,6.96389,7.88889,1,
TT_15_0.05_13, 15, 10, 0.036,1.181,30.911,31,1000,0.497724,0.497975,0.478,2.52385,3.5838,0.487,
TT_15_0.05_14, 15, 12, 0.069,2.194,51.576,31,1000,0.497692,0.499292,0.399,5.96458,7.75,1,
TT_15_0.05_15, 15, 8, 0.041,1.126,40.048,31,1000,0.500689,0.501,0.478,5.08845,5.259,1,
TT_15_0.05_16, 15, 10, 0.031,1.173,36.547,31,1000,0.500748,0.500978,0.475,1.53424,2.0088,0.496,
TT_15_0.05_17, 15, 9, 0.073,2.379,62.445,31,1000,0.487463,0.48895,0.405111,5.09661,5.86989,1,
TT_15_0.05_18, 15, 13, 0.212,2.469,58.805,31,1000,0.502929,0.503591,0.4485,3.07175,4.23392,0.489,
TT_15_0.05_19, 15, 12, 0.06,2.08,47.278,31,1000,0.501875,0.501969,0.486375,3.63348,6.58175,0.493,
TT_15_0.05_20, 15, 7, 0.052,1.636,41.736,31,1000,0.499376,0.5,0.459,10.419,11.4286,1,
TT_15_0.05_21, 15, 10, 0.039,1.371,34.195,31,1000,0.499884,0.5,0.484,2.08422,2.3,0.982,
TT_15_0.05_22, 15, 10, 0.045,1.497,38.378,31,1000,0.499283,0.499818,0.464222,2.785,3.2052,0.98,
