Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_10_0.50_3, 10, 5, 0.036,0.675,0.157,21,2,0.54928,0.58,0.4,1.90365,2,1,
TT_10_0.50_4, 10, 0, 0.057,0.492,9.29933e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_5, 10, 4, 0.043,0.866,0.122,21,4,0.5,0.5,0.5,13.5,13.5,1,
TT_10_0.50_6, 10, 2, 0.063,0.845,0.212,21,2,0.5,0.5,0.5,4.5,4.5,1,
TT_10_0.50_7, 10, 0, 0.099,0.517,9.29936e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_8, 10, 2, 0.105,0.952,0.189,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_9, 10, 0, 0.071,0.8,9.29928e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_10, 10, 4, 0.067,1.209,0.489,21,2,0.593298,0.639382,0.33339,13.5524,16.25,1,
TT_10_0.50_11, 10, 0, 0.024,0.489,9.29944e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_12, 10, 4, 0.044,0.683,0.122,21,2,0.5,0.5,0.5,0.5,0.5,0.5,
TT_10_0.50_13, 10, 2, 0.1,0.814,0.2,21,2,0.499997,0.5,0.498333,4.99997,5,1,
TT_10_0.50_14, 10, 2, 0.027,0.535,0.12,21,2,0.499997,0.5,0.498333,1.49999,1.5,1,
TT_10_0.50_15, 10, 2, 0.026,0.477,0.122,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_16, 10, 4, 0.036,0.935,0.235,21,2,0.5,0.5,0.499683,3.96863,4,1,
TT_10_0.50_17, 10, 4, 0.068,0.787,0.249,21,2,0.5,0.5,0.5,1.5,2.5,0.5,
TT_10_0.50_18, 10, 0, 0.034,0.713,9.29928e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_19, 10, 0, 0.059,0.796,9.29932e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_20, 10, 2, 0.076,1.007,0.16,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_21, 10, 0, 0.036,0.554,9.29934e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_22, 10, 0, 0.028,0.649,9.29948e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_23, 10, 3, 0.042,0.643,0.119,21,3,0.499999,0.5,0.498462,7.99998,8,1,
TT_10_0.50_24, 10, 2, 0.043,0.718,0.208,21,2,0.499997,0.5,0.498333,4.99997,5,1,
TT_10_0.50_25, 10, 4, 0.11,1.178,0.173,21,3,0.499999,0.5,0.498571,3.53552,3.75,1,
TT_10_0.50_26, 10, 4, 0.071,0.939,0.189,21,2,0.499998,0.5,0.49875,10.3923,14.25,1,
TT_10_0.50_27, 10, 2, 0.073,1.532,0.232,21,2,0.612372,0.625,0.5,1.22474,1.25,1,
TT_10_0.50_28, 10, 5, 0.04,0.875,0.198,21,4,0.499999,0.5,0.499067,6.93144,7.6,1,
TT_10_0.50_29, 10, 5, 0.058,1.014,0.195,21,3,0.567813,0.594437,0.472889,2.76821,4.2,1,
TT_10_0.50_30, 10, 4, 0.052,0.748,0.154,21,2,0.5,0.5,0.5,3.3541,3.5,1,
TT_10_0.50_31, 10, 4, 0.079,1.208,0.261,21,2,0.653773,0.685564,0.422168,6.15185,9.7189,1,
TT_10_0.50_32, 10, 0, 0.042,0.714,9.29929e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_33, 10, 6, 0.044,0.83,0.128,21,4,0.499998,0.5,0.49875,2.62073,3.16667,0.9975,
TT_10_0.50_34, 10, 4, 0.06,1.22,0.313,21,3,0.627368,0.660067,0.359732,1.71621,2.25,0.814554,
TT_10_0.50_35, 10, 4, 0.052,0.845,0.156,21,3,0.499999,0.5,0.498571,3.53552,3.75,1,
TT_10_0.50_36, 10, 3, 0.122,1.111,0.243,21,3,0.499999,0.5,0.498462,9.99998,10,1,
TT_10_0.50_37, 10, 2, 0.04,0.994,0.209,21,2,0.5,0.5,0.5,4,4,1,
TT_10_0.50_38, 10, 2, 0.078,1.042,0.157,21,2,0.5,0.5,0.5,2,2,1,
TT_10_0.50_39, 10, 0, 0.023,0.464,9.29943e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_40, 10, 3, 0.028,0.516,0.111,21,3,0.499999,0.5,0.498462,8.99998,9,1,
TT_10_0.50_41, 10, 3, 0.033,0.552,0.116,21,3,0.499999,0.5,0.498462,9.99998,10,1,
TT_10_0.50_42, 10, 7, 0.074,0.995,0.097,21,4,0.552033,0.571429,0.494118,2.92623,4.42857,0.494118,
TT_10_0.50_43, 10, 3, 0.029,0.59,0.145,21,3,0.499999,0.5,0.498462,7.99998,8,1,
TT_10_0.50_44, 10, 2, 0.049,0.793,0.141,21,2,0.499997,0.5,0.498333,4.99997,5,1,
TT_10_0.50_45, 10, 2, 0.031,0.488,0.118,21,2,0.499997,0.5,0.498333,2.99998,3,1,
TT_10_0.50_46, 10, 0, 0.031,0.631,9.29931e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_47, 10, 0, 0.03,0.691,9.29947e-312,21,1,0,0,1,0,0,1,
TT_10_0.50_48, 10, 3, 0.029,0.635,0.204,21,2,0.62996,0.666667,0.499301,9.46152,9.66667,1,
TT_10_0.50_49, 10, 4, 0.131,1.504,0.231,21,3,0.612372,0.625,0.499429,13.4164,13.5,1,
TT_15_0.05_0, 15, 9, 0.068,2.13,0.113,31,6,0.49778,0.5,0.434286,7.11473,8.44444,1,
TT_15_0.05_1, 15, 11, 0.039,1.31,0.088,31,6,0.540376,0.545455,0.464477,2.36414,3.36364,0.660476,
TT_15_0.05_2, 15, 9, 0.067,2.019,0.127,31,6,0.499994,0.5,0.495158,4.81657,5.44444,1,
TT_15_0.05_3, 15, 11, 0.073,1.68,0.108,31,7,0.532401,0.542238,0.419333,4.11975,5.54545,0.793333,
TT_15_0.05_4, 15, 11, 0.047,1.718,0.099,31,5,0.497225,0.5,0.41,3.60939,3.72727,1,
TT_15_0.05_5, 15, 13, 0.083,2.279,0.12,31,9,0.49991,0.5,0.476522,4.2227,6.61538,0.476522,
TT_15_0.05_6, 15, 14, 0.034,0.933,0.082,31,7,0.499076,0.511132,0.381429,2.6601,3.07143,0.931829,
TT_15_0.05_7, 15, 10, 0.047,1.757,0.126,31,5,0.499999,0.5,0.498167,3.26266,4.9,0.499583,
TT_15_0.05_8, 15, 12, 0.117,2.006,0.141,31,6,0.495357,0.505716,0.36,4.87896,5.25,1,
TT_15_0.05_9, 15, 11, 0.099,2.199,0.169,31,7,0.525777,0.553716,0.346825,3.97475,5.18182,1,
TT_15_0.05_10, 15, 8, 0.044,1.285,0.081,31,2,0.5,0.5,0.5,2.26351,2.5,1,
TT_15_0.05_11, 15, 7, 0.047,1.326,0.095,31,4,0.499999,0.5,0.498235,3.02241,3.28571,1,
TT_15_0.05_12, 15, 9, 0.047,1.659,0.111,31,7,0.499989,0.5,0.493263,6.97129,7.88889,1,
TT_15_0.05_13, 15, 10, 0.04,1.237,0.093,31,7,0.499992,0.5,0.495,2.53535,3.6,0.496,
TT_15_0.05_14, 15, 12, 0.072,2.452,0.118,31,8,0.506619,0.512936,0.344773,6.07157,7.75,1,
TT_15_0.05_15, 15, 8, 0.045,1.163,0.082,31,5,0.499997,0.5,0.496667,5.08141,5.25,1,
TT_15_0.05_16, 15, 10, 0.03,1.005,0.07,31,4,0.5,0.5,0.5,1.53194,2,0.5,
TT_15_0.05_17, 15, 9, 0.066,2.007,0.157,31,6,0.499997,0.5,0.497895,5.22765,5.88889,1,
TT_15_0.05_18, 15, 13, 0.215,2.158,0.1,31,7,0.49559,0.5,0.419179,3.02693,4.23077,0.430435,
TT_15_0.05_19, 15, 12, 0.058,2.252,0.112,31,7,0.499956,0.5,0.486909,3.61958,6.5,0.496364,
TT_15_0.05_20, 15, 7, 0.053,1.911,0.151,31,6,0.499998,0.5,0.497479,10.432,11.4286,1,
TT_15_0.05_21, 15, 10, 0.045,1.567,0.081,31,5,0.499993,0.5,0.4945,2.08467,2.3,0.989,
TT_15_0.05_22, 15, 10, 0.051,1.717,0.109,31,5,0.499997,0.5,0.496533,2.78898,3.2,0.993067,
TT_15_0.05_23, 15, 11, 0.051,2.022,0.096,31,7,0.499988,0.5,0.492381,2.8712,3.72727,0.492381,
TT_15_0.05_24, 15, 7, 0.051,1.617,0.109,31,5,0.49999,0.5,0.494118,4.6292,6,1,
TT_15_0.05_25, 15, 11, 0.058,2.161,0.13,31,5,0.410031,0.5,0.193143,3.27352,4.72727,0.792381,
TT_15_0.05_26, 15, 12, 0.057,1.95,0.106,31,5,0.499998,0.5,0.498182,4.48139,5,1,
TT_15_0.05_27, 15, 15, 0.045,2.051,0.091,31,7,0.495939,0.5,0.397689,3.47042,5.13333,0.4928,
TT_15_0.05_28, 15, 9, 0.036,1.07,0.078,31,5,0.542227,0.549778,0.415658,3.89885,4.55556,1,
TT_15_0.05_29, 15, 10, 0.055,1.868,0.123,31,4,0.467212,0.5,0.295111,7.47709,8.8,1,
TT_15_0.05_30, 15, 10, 0.045,2.044,0.131,31,7,0.5,0.5,0.5,3.68606,5,0.5,
