Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.05_1, 15, 11, 0.039,1.31,0.554,31,8,0.540809,0.545455,0.5,2.36603,3.36364,0.666667,
TT_15_0.05_2, 15, 9, 0.067,2.019,0.897,31,2,0.5,0.5,0.5,4.81662,5.44444,1,
TT_15_0.05_3, 15, 11, 0.073,1.68,0.979,31,9,0.526431,0.527273,0.5,4.07356,5.54545,0.56,
TT_15_0.05_4, 15, 11, 0.047,1.718,0.957,31,7,0.5,0.5,0.5,3.62954,3.72727,1,
TT_15_0.05_5, 15, 13, 0.083,2.279,0.998,31,9,0.5,0.5,0.5,4.22346,6.61538,0.5,
TT_15_0.05_6, 15, 14, 0.034,0.933,0.473,31,10,0.480875,0.481527,0.448276,2.56309,3.07143,0.448276,
TT_15_0.05_7, 15, 10, 0.047,1.757,0.726,31,7,0.5,0.5,0.5,3.26267,4.9,0.5,
TT_15_0.05_8, 15, 12, 0.117,2.006,1.033,31,8,0.478525,0.479167,0.45,4.71317,5.25,1,
TT_15_0.05_9, 15, 11, 0.099,2.199,1.08,31,9,0.487862,0.488038,0.473684,3.68812,5.18182,0.473684,
TT_15_0.05_10, 15, 8, 0.044,1.285,0.461,31,4,0.5,0.5,0.5,2.26351,2.5,1,
TT_15_0.05_11, 15, 7, 0.047,1.326,0.412,31,4,0.5,0.5,0.5,3.02242,3.28571,1,
TT_15_0.05_12, 15, 9, 0.047,1.659,0.627,31,7,0.5,0.5,0.5,6.97145,7.88889,1,
TT_15_0.05_13, 15, 10, 0.04,1.237,0.448,31,6,0.5,0.5,0.5,2.53539,3.6,0.5,
TT_15_0.05_14, 15, 12, 0.072,2.452,1.225,31,8,0.5,0.5,0.5,5.99225,7.75,1,
TT_15_0.05_15, 15, 8, 0.045,1.163,0.37,31,5,0.5,0.5,0.5,5.08145,5.25,1,
TT_15_0.05_16, 15, 10, 0.03,1.005,0.365,31,6,0.5,0.5,0.5,1.53194,2,0.5,
TT_15_0.05_17, 15, 9, 0.066,2.007,1.073,31,5,0.5,0.5,0.5,5.22769,5.88889,1,
TT_15_0.05_18, 15, 13, 0.215,2.158,1.161,31,8,0.5,0.5,0.5,3.05386,4.23077,0.5,
TT_15_0.05_19, 15, 12, 0.058,2.252,0.887,31,8,0.5,0.5,0.5,3.6199,6.5,0.5,
TT_15_0.05_20, 15, 7, 0.053,1.911,0.624,31,6,0.5,0.5,0.5,10.432,11.4286,1,
TT_15_0.05_21, 15, 10, 0.045,1.567,0.649,31,4,0.5,0.5,0.5,2.0847,2.3,1,
TT_15_0.05_22, 15, 10, 0.051,1.717,0.835,31,6,0.5,0.5,0.5,2.789,3.2,1,
TT_15_0.05_23, 15, 11, 0.051,2.022,0.737,31,4,0.5,0.5,0.5,2.87127,3.72727,0.5,
TT_15_0.05_24, 15, 7, 0.051,1.617,0.519,31,2,0.5,0.5,0.5,4.6293,6,1,
TT_15_0.05_25, 15, 11, 0.058,2.161,1.183,31,7,0.5,0.5,0.5,3.99179,4.72727,1,
TT_15_0.05_26, 15, 12, 0.057,1.95,0.911,31,8,0.5,0.5,0.5,4.4814,5,1,
TT_15_0.05_27, 15, 15, 0.045,2.051,0.91,31,10,0.5,0.5,0.5,3.49884,5.13333,0.5,
TT_15_0.05_28, 15, 9, 0.036,1.07,0.464,31,7,0.538536,0.540404,0.5,3.87231,4.55556,1,
TT_15_0.05_29, 15, 10, 0.055,1.868,0.861,31,8,0.5,0.5,0.5,8.00181,8.8,1,
TT_15_0.05_30, 15, 10, 0.045,2.044,0.702,31,6,0.5,0.5,0.5,3.68606,5,0.5,
TT_15_0.05_31, 15, 9, 0.05,2.038,0.772,31,4,0.5,0.5,0.5,5.16685,5.66667,1,
TT_15_0.05_32, 15, 15, 0.036,1.533,0.735,31,11,0.5,0.5,0.5,4.80749,5.93333,1,
TT_15_0.05_33, 15, 13, 0.035,1.167,0.532,31,6,0.5,0.5,0.5,2.27373,3.07692,0.5,
TT_15_0.05_34, 15, 12, 0.047,1.622,0.792,31,2,0.5,0.5,0.5,3.292,3.5,1,
TT_15_0.05_35, 15, 9, 0.042,1.691,0.57,31,7,0.542203,0.544444,0.5,3.76266,3.88889,1,
TT_15_0.05_36, 15, 5, 0.041,1.563,0.532,31,2,0.5,0.5,0.5,5.86602,6,1,
TT_15_0.05_37, 15, 12, 0.061,2.255,1.036,31,9,0.5,0.5,0.5,7.37377,9,1,
TT_15_0.05_38, 15, 11, 0.039,1.056,0.452,31,7,0.5,0.5,0.5,2.47766,3.27273,0.5,
TT_15_0.05_39, 15, 9, 0.055,2.058,0.705,31,2,0.5,0.5,0.5,7.41816,11.2222,1,
TT_15_0.05_40, 15, 10, 0.042,1.641,0.729,31,5,0.5,0.5,0.5,2.66727,3.2,1,
TT_15_0.05_41, 15, 12, 0.056,2.314,1.203,31,9,0.519645,0.520833,0.5,5.66209,7.08333,1,
TT_15_0.05_42, 15, 8, 0.054,1.727,0.669,31,6,0.5,0.5,0.5,5.4557,5.75,1,
TT_15_0.05_43, 15, 10, 0.035,1.47,0.509,31,7,0.5,0.5,0.5,3.3227,3.8,1,
TT_15_0.05_44, 15, 13, 0.159,2.088,1.031,31,9,0.522626,0.525641,0.5,5.18857,6.61538,1,
TT_15_0.05_45, 15, 12, 0.092,2.244,1.056,31,8,0.5,0.5,0.5,3.63943,5.16667,0.5,
TT_15_0.05_46, 15, 7, 0.045,1.749,0.454,31,6,0.5,0.5,0.5,6.99584,7.28571,1,
TT_15_0.05_47, 15, 8, 0.035,1.126,0.323,31,5,0.5,0.5,0.5,3.13208,4,1,
TT_15_0.05_48, 15, 12, 0.209,3.119,2.045,31,8,0.523318,0.525,0.5,3.43973,4.41667,0.6,
TT_15_0.05_49, 15, 11, 0.043,1.162,0.505,31,8,0.536291,0.537879,0.5,2.64386,3.09091,0.583333,
TT_15_0.25_0, 15, 10, 0.358,7.131,4.726,31,7,0.542236,0.55,0.5,4.45244,6.6,0.75,
TT_15_0.25_1, 15, 9, 0.058,1.876,0.845,31,6,0.5,0.5,0.5,4.20771,4.44444,1,
TT_15_0.25_2, 15, 9, 0.068,3.317,1.206,31,6,0.5,0.5,0.5,3.69056,4.44444,1,
TT_15_0.25_3, 15, 8, 0.062,2.167,1.006,31,6,0.50637,0.50641,0.5,6.02311,6.875,1,
