Name, n, |M|, distribution
TT_20_0.25_39, 20, 9, -53,-3,0,-20,0,-13,-18,-2,-82,-56,-1,0,-69,-30,-67,-1,-5,-34,0,0,
TT_20_0.25_40, 20, 13, -6.9,0,-76.33,-82.67,-25,-56.103,-38.576,-36.92,-0.787,0,0,-27.504,-2,-4,-1.213,-25.249,-21.751,-68.897,-1,-2.1,
TT_20_0.25_41, 20, 9, -1,-2.412,0,-66.82,-12.387,-38,-47.992,-0.201,-46.129,-46.879,0,-79.67,-17,-68.51,0,-6,0,0,0,0,
TT_20_0.25_42, 20, 8, 0,-3,0,0,-21,-1,-42,-7,-50,-59,-2,-54,-49,-15,0,-32,0,-4,0,-12,
TT_20_0.25_43, 20, 12, -76.818,-107.15,0,-2,-11.126,-70.893,-89.85,-3,-45.106,0,-1,-3,-48.128,-35.109,-24.785,-87.289,-14.874,-42.872,0,0,
TT_20_0.25_44, 20, 10, -38.194,0,0,0,0,0,-3,-30.886,-1,-33.536,-57.368,-87.59,0,-58.024,0,-20.806,0,-19.578,-75.41,-57.608,
TT_20_0.25_45, 20, 13, 0,-3.998,0,-31.401,-35.595,-28.58,0,-49.539,-86.188,-49.416,-67.872,-2.997,0,-0.848,-1.888,0,-60.584,-78.938,-88.869,-3.251,
TT_20_0.25_46, 20, 12, 0,-16.421,0,-20.718,0,-17,-100,-82.135,-17.573,-78.226,-46.904,0,-17.437,-64.637,-50.479,-3,0,-2.431,-43.615,-0.413,
TT_20_0.25_47, 20, 12, 0,-79.159,-19.959,0,-1,-68.349,0,-70.369,-67.65,0,-64.56,0,-6,-2.45,-4.26,-67.909,0,-26.041,-0.98,-0.309,
TT_20_0.25_48, 20, 14, -72.35,0,-30.905,0,0,-0.194,0,-3.438,-26.412,0,-64.799,0,-85.529,-36.143,-64.299,-0.191,-5.87,-85.71,-1.846,-80.31,
TT_20_0.25_49, 20, 14, -1.836,-17.041,-0.997,0,-78.227,-37.361,-0.383,-19.957,-2.44,0,-76.13,-40.731,-43.998,-8.93,0,-30.902,0,-5.406,-83.059,-65.578,
TT_20_0.50_0, 20, 5, 0,0,0,-1,-1,-54,0,-3,-77,0,-49,-20,0,-7,0,0,0,-50,0,0,
TT_20_0.50_1, 20, 10, 0,0,0,-52.445,0,-91.885,0,-9.001,-6.953,-89.938,0,-31.21,-10.725,0,-17.854,0,0,-81.148,-49.675,0,
TT_20_0.50_2, 20, 4, 0,-1,0,-62.12,0,-21,0,-23,0,0,-8,0,0,-77.98,-55.76,0,0,-75.14,-12,0,
TT_20_0.50_3, 20, 7, 0,0,-58,-4,-6,0,-55,0,-11,0,-39,-1,0,-1,0,-6,-17,0,0,-28,
TT_20_0.50_4, 20, 15, -19,-4,-1,-16,-7,-21,0,-7,-26,-6,-1,0,-42,0,-1,0,-40,-54,-7,-3,
TT_20_0.50_5, 20, 9, 0,0,0,-2,-10,0,0,0,-4,-1,-1,-68,0,-11,0,0,-68,-34,-26,-17,
TT_20_0.50_6, 20, 9, -29,-3,0,-58,-19,0,-32,0,0,0,0,0,0,-1,0,-1,0,-72,0,-12,
TT_20_0.50_7, 20, 6, 0,-47.571,-4.997,-2.997,-10.998,-2.998,0,0,0,0,-37.426,0,-2.997,-43.958,0,0,-87.629,-71.298,-55.11,-2.997,
TT_20_0.50_8, 20, 7, 0,0,0,0,-11,0,-2,-12.112,-29,-53.032,0,-2,-90,-5,0,-34.934,-1,-78.066,-3,-27.856,
TT_20_0.50_9, 20, 6, -15,0,-3,-3,0,-1,0,0,-3,-1,-11,0,-81,-77,0,0,-21,0,-45,0,
TT_20_0.50_10, 20, 8, 0,-52,0,0,-4,0,-2,-22,0,0,0,-5,0,-79,-21,-42,0,-1,-45,-31,
TT_20_0.50_11, 20, 7, 0,-61,0,0,0,-5,-44,0,-3,0,0,0,-50,0,-38,0,0,-56,0,-3,
TT_20_0.50_12, 20, 8, -36.446,-39.28,0,0,0,0,0,-1.323,-15.554,-6,0,-1,-52.23,-50.62,-16.994,-1.677,-12,-6.994,-69.87,0,
TT_20_0.50_13, 20, 10, -13.768,-2.055,-72.985,-67.736,-2.46,0,0,-43.21,0,0,-17.192,-39.328,-6.964,-1.952,0,-28.599,-1.912,0,0,-17.469,
TT_20_0.50_14, 20, 5, 0,0,0,0,0,-17,0,-59,0,-3,-1,-49,0,-3,0,-33,0,-86.22,-61.78,-4,
TT_20_0.50_15, 20, 11, 0,-8,-21,-7,0,0,-7,-18,0,-2,0,-31,-49,-3,-53,0,0,-68,-32,0,
TT_20_0.50_16, 20, 7, -3,-26.91,0,-22.424,0,-3,-11.666,-53.74,0,0,0,-40,-49,0,-63.26,0,0,0,0,0,
TT_20_0.50_17, 20, 13, -0.914,-5,-19.6,-80.4,-23.738,-86.169,-0.491,-21.142,0,0,-86.429,-20.26,0,0,-10.999,0,-0.66,-54.597,-0.509,-1.085,
TT_20_0.50_18, 20, 8, 0,0,0,-10,0,-62,-64,-48,-4,0,-45,-29,0,0,-5,-5,-2,0,-4,0,
TT_20_0.50_19, 20, 7, -68.14,-10,-5.698,-42.28,0,-1,0,-51.76,0,-10.008,0,0,0,0,0,-5,0,-2.294,-44.82,-21,
TT_20_0.50_20, 20, 8, -2.98,-25.975,-85.507,0,-1.99,-3.578,0,0,0,0,-98.332,-32.716,0,0,0,-74.088,-38.193,-17.007,-4.396,0,
TT_20_0.50_21, 20, 6, 0,0,0,-51.515,-8,-54.143,0,0,0,-1,-3,0,0,-45.658,-55.658,0,-2.658,0,0,-40,
TT_20_0.50_22, 20, 6, 0,-44,-37,-2,-9,0,0,0,-46,0,0,0,0,0,-2,0,-19,0,-20,-22,
TT_20_0.50_23, 20, 6, 0,0,-6.923,0,-77.187,-82.677,-71.004,0,-31.633,0,-2.966,0,0,0,-47.427,-1,0,-5.911,-34.894,-4.923,
TT_20_0.50_24, 20, 7, -2,-22.283,-64.709,-68.462,0,0,-79.402,-37.992,-1.478,0,0,0,-2,-6,-49.12,0,-0.522,-2,0,-1,
TT_20_0.50_25, 20, 9, 0,-11.584,-3,0,-1.497,-1,-66.943,0,-96.82,0,0,-22,-62.18,-1.306,-7.416,0,-53.057,0,-2.197,0,
TT_20_0.50_26, 20, 8, 0,-27.468,-34.812,-9.188,-31.532,0,0,0,0,0,-13.12,-2,0,-57.63,0,0,-65.37,-30.88,0,0,
TT_20_0.50_27, 20, 8, -55,-5,0,0,-6,0,-31,-39,-14,0,0,-23,-2,-16,-73,-3,0,-8,0,0,
TT_20_0.50_28, 20, 9, -5.776,0,-38.928,-1.152,-1,0,-101,0,0,-0.152,0,-34.485,-44.496,0,0,-11.152,-39.344,-49.515,0,0,
TT_20_0.50_29, 20, 14, -14.562,-16.218,-2.997,-16.998,-73.675,-98.166,-0.261,-1.987,0,-2.095,0,-59.094,-1.207,0,-13.618,-34.692,-86.875,-41.193,0,-92.263,
TT_20_0.50_30, 20, 7, -26.958,-13,-7,-0.654,0,-80.99,0,-13.386,0,-67.93,-76.66,0,0,-4.999,0,0,-2.999,0,0,-82.419,
TT_20_0.50_31, 20, 6, -18,-5,0,0,-32,-10,-3,0,0,0,-80,-1,0,-3,-3,0,0,0,-23,0,
TT_20_0.50_32, 20, 9, -66,0,0,0,-38,0,-70,0,0,-73,0,0,-11,0,-7,0,0,0,0,0,
TT_20_0.50_33, 20, 8, -47,0,-37,-46,0,-42,0,0,0,0,-48,0,-13,0,-4,0,0,0,-4,-2,
