Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_20_0.50_7, 20, 6, 0.814,10.706,284.315,41,1000,0.52847,0.529889,0.48,10.6133,11.9148,1,
TT_20_0.50_8, 20, 7, 0.343,10.599,181.832,41,1000,0.505875,0.506083,0.490375,3.79092,5.017,1,
TT_20_0.50_9, 20, 6, 0.08,2.794,70.126,41,1000,0.499558,0.5,0.474,4.47744,4.5,1,
TT_20_0.50_10, 20, 8, 0.321,16.293,312.242,41,1000,0.496704,0.497228,0.469636,4.81829,5.54775,1,
TT_20_0.50_11, 20, 7, 0.234,7.017,182.319,41,1000,0.500278,0.500396,0.486222,4.63187,6.00414,1,
TT_20_0.50_12, 20, 8, 2.484,334.166,1436.59,41,1000,0.618334,0.675939,0.325,7.72013,13.3708,0.975,
TT_20_0.50_13, 20, 10, 0.364,10.742,239.601,41,1000,0.50315,0.503352,0.4861,3.4592,3.6222,1,
TT_20_0.50_14, 20, 5, 0.117,4.471,104.953,41,1000,0.499863,0.5,0.489,6.92955,7.6,1,
TT_20_0.50_15, 20, 11, 0.604,5.282,132.169,41,1000,0.533951,0.537281,0.4855,3.0808,4.01218,0.493,
TT_20_0.50_16, 20, 7, 0.181,9.891,271.454,41,1000,0.537692,0.540776,0.4917,6.9173,8.18629,1,
TT_20_0.50_17, 20, 13, 0.26,7.294,184.653,41,1000,0.512856,0.514968,0.469556,3.8005,7.23323,0.486,
TT_20_0.50_18, 20, 8, 0.187,5.784,120.201,41,1000,0.579317,0.585979,0.493667,5.63264,12.0086,1,
TT_20_0.50_19, 20, 7, 1.536,92.247,1111.19,41,1000,0.532745,0.553817,0.30975,9.11038,12.9736,1,
TT_20_0.50_20, 20, 8, 0.863,15.111,336.414,41,1000,0.529446,0.53336,0.477875,8.81683,10.5069,1,
TT_20_0.50_21, 20, 6, 0.349,7.123,156.922,41,1000,0.506604,0.50693,0.482,4.54059,4.556,1,
TT_20_0.50_22, 20, 6, 0.406,22.772,359.683,41,1000,-nan(ind),-1.25101,-10.573,-nan(ind),7.71033,-21.146,
TT_20_0.50_23, 20, 6, 1.282,46.138,640.854,41,1000,0.456567,0.458717,0.408854,13.0741,13.5283,1,
TT_20_0.50_24, 20, 7, 0.42,10.947,238.118,41,1000,0.503895,0.504863,0.466,3.40851,5.72329,0.466,
TT_20_0.50_25, 20, 9, 0.32,4.534,110.758,41,1000,0.537994,0.541591,0.479111,3.51816,3.66744,1,
TT_20_0.50_26, 20, 8, 0.139,4.452,154.673,41,1000,0.506356,0.506496,0.496556,6.28663,7.66413,1,
TT_20_0.50_27, 20, 8, 0.204,4.665,122.809,41,1000,0.553271,0.558906,0.4846,7.42187,7.98425,1,
TT_20_0.50_28, 20, 9, 1.197,37.336,613.692,41,1000,0.529876,0.537157,0.434562,4.72914,9.02189,0.545,
TT_20_0.50_29, 20, 14, 0.584,16.627,347.976,41,1000,0.568064,0.578946,0.448269,8.97053,11.1572,0.722,
TT_20_0.50_30, 20, 7, 0.413,5.879,148.49,41,1000,0.528195,0.530367,0.4891,7.86289,10.289,1,
TT_20_0.50_31, 20, 6, 0.318,3.86,78.084,41,1000,0.499801,0.5,0.477,2.05982,3,0.492,
TT_20_0.50_32, 20, 9, 0.828,26.392,751.689,41,1000,0.532106,0.534983,0.482667,3.32638,3.56256,1,
TT_20_0.50_33, 20, 8, 0.457,12.836,249.708,41,1000,0.519479,0.520169,0.4875,4.22239,4.37925,1,
