Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
30-instance-18, 30, 13, 0.012,0.22,0.471,26,9,1.71051e-05,0.538462,0.2,
30-instance-19, 30, 21, 0.016,0.291,0.871,24,16,3.22647e-15,0.285714,0.111111,
30-instance-20, 30, 7, 0.008,0.102,0.18,28,6,8e-05,0.285714,0.2,
30-instance-21, 30, 4, 0.002,0.015,0.059,28,2,0.0625,0.5,0.5,
30-instance-22, 30, 17, 0.01,0.226,0.519,26,13,4.90848e-16,0.176471,0.0833333,
30-instance-23, 30, 11, 0.012,0.206,0.496,24,9,0.00081,0.545455,0.4,
30-instance-24, 30, 13, 0.017,0.337,0.68,23,12,2.42853e-06,0.384615,0.285714,
30-instance-25, 30, 15, 0.014,0.243,0.672,26,13,9.95824e-13,0.2,0.111111,
30-instance-26, 30, 6, 0.014,0.105,0.093,30,6,2.14335e-05,0.166667,0.166667,
30-instance-27, 30, 14, 0.02,0.362,0.803,23,11,3.69056e-07,0.357143,0.3,
30-instance-28, 30, 5, 0.003,0.083,0.114,29,3,0.0703125,0.6,0.5,
30-instance-29, 30, 9, 0.01,0.069,0.203,26,7,0.0260123,0.666667,0.666667,
30-instance-30, 30, 3, 0.003,0.048,0.055,30,3,0.037037,0.333333,0.333333,
30-instance-31, 30, 6, 0.011,0.263,0.159,29,4,0.015625,0.5,0.5,
30-instance-32, 30, 11, 0.006,0.087,0.446,26,6,4.34518e-05,0.454545,0.25,
30-instance-33, 30, 12, 0.01,0.244,0.554,28,8,2.56e-08,0.25,0.2,
30-instance-34, 30, 14, 0.015,0.162,0.491,26,9,3.27049e-10,0.214286,0.166667,
30-instance-35, 30, 10, 0.017,0.201,0.255,28,9,4.49728e-08,0.2,0.142857,
30-instance-36, 30, 6, 0.011,0.172,0.16,28,4,0.072338,0.666667,0.5,
30-instance-37, 30, 7, 0.015,0.243,0.238,29,6,0.000144676,0.285714,0.25,
