Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean (rel.), arithmetic mean (rel.), minimum selection probability (rel.), geometric mean (abs.), arithmetic mean (abs.), minimum selection probability (abs.)
TT_15_0.25_9, 15, 13, 0.197,4.959,5.394,31,9,0.487261,0.487692,0.466667,3.54251,5.38462,0.466667,
TT_15_0.25_10, 15, 6, 0.043,1.364,0.348,31,2,0.5,0.5,0.5,3.91487,4,1,
TT_15_0.25_11, 15, 10, 0.116,2.857,2.693,31,7,0.458657,0.4625,0.375,3.17922,4.1,0.75,
TT_15_0.25_12, 15, 5, 0.123,2.468,0.543,31,4,0.5,0.5,0.5,3.98107,6.4,1,
TT_15_0.25_13, 15, 6, 0.048,1.329,0.344,31,5,0.5,0.5,0.5,6.32574,6.5,1,
TT_15_0.25_14, 15, 6, 0.055,1.538,0.594,31,4,0.5,0.5,0.5,4.28631,4.33333,1,
TT_15_0.25_15, 15, 9, 0.079,1.686,0.882,31,4,0.464159,0.466667,0.4,3.92181,4,1,
TT_15_0.25_16, 15, 4, 0.057,1.077,0.234,31,2,0.5,0.5,0.5,1.11803,1.5,0.5,
TT_15_0.25_17, 15, 7, 0.148,1.867,0.782,31,5,0.529448,0.530612,0.5,3.18606,3.42857,1,
TT_15_0.25_18, 15, 11, 0.063,2.941,1.144,31,8,0.5,0.5,0.5,4.28757,6,0.5,
TT_15_0.25_19, 15, 9, 0.042,1.203,0.598,31,7,0.505962,0.506006,0.5,8.00083,9,1,
TT_15_0.50_0, 15, 5, 0.141,2.179,0.754,31,4,0.458861,0.46,0.433333,6.16575,7,1,
TT_15_0.50_1, 15, 7, 0.335,4.704,1.027,31,4,0.5,0.5,0.5,9.80829,11.8571,1,
TT_15_0.50_2, 15, 4, 0.167,2.224,0.513,31,2,0.5,0.5,0.5,3.67423,3.75,1,
TT_15_0.50_3, 15, 4, 0.027,0.892,0.193,31,2,0.5,0.5,0.5,3.53553,3.75,1,
TT_15_0.50_4, 15, 4, 0.099,4.854,1.656,31,3,0.534884,0.534884,0.534884,4.03548,5.75,1,
TT_15_0.50_5, 15, 8, 0.061,1.851,0.978,31,5,0.5,0.5,0.5,7.89837,10.75,0.5,
TT_15_0.50_6, 15, 4, 0.093,2.155,0.493,31,2,0.5,0.5,0.5,4.74342,4.75,1,
TT_15_0.50_7, 15, 0, 0.065,1.399,8.85726e-312,31,1,0,0,1,0,0,1,
TT_15_0.50_8, 15, 7, 0.15,2.519,0.584,31,4,0.475387,0.47619,0.444444,1.27965,1.85714,0.444444,
TT_15_0.50_9, 15, 4, 0.089,1.794,0.364,31,2,0.5,0.5,0.5,4.97494,5,1,
TT_15_0.50_10, 15, 7, 0.066,1.586,0.808,31,6,0.435163,0.436278,0.409091,12.3518,17.4286,1,
TT_15_0.50_11, 15, 8, 0.113,2.354,1.261,31,6,0.502535,0.510181,0.411765,4.08466,4.875,1,
TT_15_0.50_12, 15, 6, 0.125,1.9,0.549,31,2,0.5,0.5,0.5,2.75892,3,1,
TT_15_0.50_13, 15, 4, 0.064,2.075,0.547,31,2,0.5,0.5,0.5,2.23607,3,1,
TT_15_0.50_14, 15, 2, 0.136,3.962,0.33,31,2,0.5,0.5,0.5,3.5,3.5,1,
