Name, n, |M|, distribution
10-instance-28, 10, 7, 0,0.5,1,0.5,0.333333,1,0.333333,0.5,0.5,0.333333,
10-instance-29, 10, 2, 1,0,0.5,0,0.5,0,0,0,0,0,
10-instance-30, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-31, 10, 0, 1,0,0,0,0,0,1,0,0,0,
10-instance-32, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-33, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-34, 10, 2, 1,1,0.5,0.5,1,0,1,1,1,0,
10-instance-35, 10, 0, 0,1,0,0,0,0,0,0,0,1,
10-instance-36, 10, 4, 1,1,0.25,0.25,1,0.25,0.25,0,1,0,
10-instance-37, 10, 2, 0.5,1,1,0,0,0,0,0,0,0.5,
10-instance-38, 10, 2, 0,0,1,0.5,0,0,0.5,0,1,1,
10-instance-39, 10, 2, 0.5,0.5,0,0,0,0,0,0,1,0,
10-instance-40, 10, 3, 1,1,0.333333,0,0,1,0.333333,0.333333,0,0,
10-instance-41, 10, 3, 1,1,0.666667,0.666667,1,0,1,1,0,0.666667,
10-instance-42, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-43, 10, 2, 0,1,1,0,0,0.5,0.5,1,1,0,
10-instance-44, 10, 2, 0.5,0,1,1,0,1,0,1,1,0.5,
10-instance-45, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-46, 10, 0, 1,0,1,1,1,0,1,1,0,0,
10-instance-47, 10, 0, 0,0,0,0,0,0,0,0,0,0,
10-instance-48, 10, 0, 1,0,0,1,1,0,0,0,1,0,
10-instance-49, 10, 0, 0,0,1,0,0,1,0,0,0,0,
10-instance-50, 10, 3, 0.333333,0.333333,1,0,0,0.333333,0,1,0,0,
20-instance-1, 20, 6, 1,1,0,1,0.5,0.5,0,1,0.5,1,0,0,0,1,0,0.5,0.5,0,1,0.5,
20-instance-2, 20, 0, 0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,
20-instance-3, 20, 0, 0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,
20-instance-4, 20, 4, 0,0,0.5,0.5,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
20-instance-5, 20, 0, 0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,
20-instance-6, 20, 7, 1,1,0.5,0.2,0.2,0,0.2,0.5,1,0,1,0.2,0.2,1,1,0,1,1,0,0,
20-instance-7, 20, 8, 1,0.5,0.25,0,0,0,0,0,0.25,0,0.5,0,0,0,1,0,0.75,0,0.25,0.5,
20-instance-8, 20, 8, 0,0.125,0.125,0,0,0,0.125,1,0.125,0,1,0.125,0.125,0.125,0.125,1,0,1,1,0,
20-instance-9, 20, 9, 0.833333,0,0.333333,0.5,0,0.333333,1,0.333333,1,1,1,0,0.5,0,0,0.333333,0,0.888889,1,0.944444,
20-instance-10, 20, 2, 0.5,0.5,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,
20-instance-11, 20, 2, 0,0,0,0,0,0,1,0,0,0,0,1,0.5,0,1,0,0,0,0.5,0,
