Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
20-instance-44, 20, 5, 0.008,0.051,0.018,18,4,0.594201,0.6,0.5,
20-instance-45, 20, 11, 0.007,0.103,0.111,17,9,0.340849,0.454545,0.0666667,
20-instance-46, 20, 6, 0.001,0.009,0.007,20,6,0.166667,0.166667,0.166667,
20-instance-47, 20, 8, 0.009,0.14,0.071,17,6,0.605317,0.625,0.375,
20-instance-48, 20, 2, 0.01,0.019,0.003,20,2,0.5,0.5,0.5,
20-instance-49, 20, 2, 0.001,0.005,0.003,20,2,0.5,0.5,0.5,
20-instance-50, 20, 3, 0.01,0.169,0.029,20,3,0.666667,0.666667,0.666667,
30-instance-1, 30, 7, 0.011,0.243,0.084,26,4,0.55617,0.571429,0.333333,
30-instance-2, 30, 8, 0.002,0.038,0.043,29,4,0,0.5,0,
30-instance-3, 30, 7, 0.001,0.015,0.01,28,6,0.258342,0.285714,0.2,
30-instance-4, 30, 0, 0.012,0.151,9.29986e-314,31,1,0,0,1,
30-instance-5, 30, 15, 0.007,0.044,0.041,30,15,0.0666667,0.0666667,0.0666667,
30-instance-6, 30, 10, 0.007,0.093,0.072,26,8,0.542667,0.6,0.2,
30-instance-7, 30, 2, 0,0.012,0.002,30,2,0.5,0.5,0.5,
30-instance-8, 30, 8, 0.012,0.169,0.036,30,8,0.125,0.125,0.125,
30-instance-9, 30, 15, 0.015,0.169,0.25,26,11,0,0.266667,0,
30-instance-10, 30, 13, 0.004,0.053,0.135,25,9,0,0.307692,0,
30-instance-11, 30, 4, 0.001,0.022,0.011,30,4,0.75,0.75,0.75,
30-instance-12, 30, 17, 0.01,0.055,0.14,26,12,0,0.176471,0,
30-instance-13, 30, 5, 0.009,0.119,0.048,29,4,0.392026,0.4,0.333333,
30-instance-14, 30, 14, 0.008,0.157,0.102,26,12,0.137766,0.142857,0.0833333,
30-instance-15, 30, 9, 0.01,0.275,0.145,29,6,0,0.222222,0,
30-instance-16, 30, 0, 0.015,0.316,9.29986e-314,31,1,0,0,1,
30-instance-17, 30, 3, 0.002,0.028,0.008,30,3,0.666667,0.666667,0.666667,
30-instance-18, 30, 13, 0.009,0.212,0.194,26,10,0.392805,0.538462,0.06,
30-instance-19, 30, 21, 0.016,0.24,0.347,24,16,0.185762,0.285714,0.0283333,
30-instance-20, 30, 7, 0.008,0.096,0.045,28,6,0,0.285714,0,
30-instance-21, 30, 4, 0.001,0.016,0.027,28,2,0.5,0.5,0.5,
30-instance-22, 30, 17, 0.01,0.199,0.189,26,12,0,0.176471,0,
30-instance-23, 30, 11, 0.013,0.202,0.205,24,9,0.495518,0.545455,0.183333,
30-instance-24, 30, 13, 0.018,0.3,0.268,23,12,0.368374,0.384615,0.251701,
30-instance-25, 30, 15, 0.016,0.234,0.227,26,9,0,0.2,0,
30-instance-26, 30, 6, 0.008,0.081,0.015,30,6,0.166667,0.166667,0.166667,
30-instance-27, 30, 14, 0.015,0.261,0.402,23,12,0.324308,0.357143,0.168,
30-instance-28, 30, 5, 0.003,0.093,0.027,29,4,0.528298,0.6,0.166667,
30-instance-29, 30, 9, 0.011,0.074,0.069,26,3,0.666667,0.666667,0.666667,
30-instance-30, 30, 3, 0.003,0.048,0.009,30,3,0.333333,0.333333,0.333333,
30-instance-31, 30, 6, 0.011,0.229,0.049,29,4,0.5,0.5,0.5,
30-instance-32, 30, 11, 0.003,0.082,0.192,26,8,0.383284,0.454545,0.166667,
30-instance-33, 30, 12, 0.009,0.222,0.299,28,10,0.232388,0.25,0.175,
30-instance-34, 30, 14, 0.009,0.151,0.155,26,11,0.20472,0.214286,0.125,
30-instance-35, 30, 10, 0.012,0.187,0.116,28,9,0.180502,0.2,0.0952381,
30-instance-36, 30, 6, 0.012,0.139,0.076,28,4,0.645497,0.666667,0.5,
30-instance-37, 30, 7, 0.012,0.205,0.078,29,6,0.282804,0.285714,0.25,
30-instance-38, 30, 3, 0.01,0.183,0.014,30,3,0.333333,0.333333,0.333333,
30-instance-39, 30, 7, 0.012,0.199,0.081,28,5,0.428571,0.428571,0.428571,
30-instance-40, 30, 0, 0.011,0.138,9.29986e-314,31,1,0,0,1,
30-instance-41, 30, 12, 0.018,0.236,0.22,23,10,0.575745,0.583333,0.4375,
30-instance-42, 30, 13, 0.017,0.284,0.251,25,13,0.307692,0.307692,0.307692,
30-instance-43, 30, 7, 0.013,0.254,0.022,30,7,0.142857,0.142857,0.142857,
30-instance-44, 30, 9, 0.012,0.317,0.152,27,6,0,0.333333,0,
30-instance-45, 30, 8, 0.002,0.023,0.062,26,6,0.368894,0.375,0.333333,
30-instance-46, 30, 21, 0.013,0.187,0.423,21,14,0.196291,0.333333,0.04,
30-instance-47, 30, 17, 0.011,0.197,0.195,25,13,0.172152,0.176471,0.1,
30-instance-48, 30, 9, 0.017,0.221,0.139,27,7,0.483258,0.555556,0.125,
30-instance-49, 30, 14, 0.012,0.171,0.121,28,7,0.142857,0.142857,0.142857,
30-instance-50, 30, 4, 0.003,0.05,0.029,28,2,0.5,0.5,0.5,
40-instance-1, 40, 15, 0.009,0.115,0.209,34,11,0,0.266667,0,
40-instance-2, 40, 7, 0.003,0.072,0.039,39,6,0.713081,0.714286,0.666667,
40-instance-3, 40, 9, 0.014,0.329,0.157,35,6,0.546588,0.555556,0.4,
40-instance-4, 40, 17, 0.027,0.432,0.434,31,16,0.296823,0.352941,0.0938776,
40-instance-5, 40, 11, 0.019,0.486,0.199,36,9,0.815156,0.818182,0.72,
40-instance-6, 40, 4, 0.012,0.205,0.017,40,4,0.25,0.25,0.25,
40-instance-7, 40, 3, 0.013,0.425,0.055,40,3,0.666667,0.666667,0.666667,
40-instance-8, 40, 27, 0.02,0.404,0.737,26,21,0.210543,0.296296,0.00944171,
40-instance-9, 40, 11, 0.003,0.076,0.119,35,5,0,0.454545,0,
40-instance-10, 40, 10, 0.012,0.155,0.139,35,6,0.376449,0.4,0.166667,
40-instance-11, 40, 12, 0.015,0.39,0.243,34,8,0.330227,0.5,0.0277778,
40-instance-12, 40, 17, 0.015,0.379,0.407,32,13,0.302079,0.411765,0.0694444,
40-instance-13, 40, 11, 0.012,0.265,0.229,32,4,0.524359,0.545455,0.25,
40-instance-14, 40, 13, 0.017,0.428,0.28,34,13,0.230769,0.230769,0.230769,
40-instance-15, 40, 18, 0.019,0.399,0.535,31,11,0.230783,0.277778,0.0757576,
40-instance-16, 40, 18, 0.02,0.393,0.459,31,16,0.254603,0.333333,0.0714286,
40-instance-17, 40, 23, 0.02,0.448,0.628,31,22,0.145418,0.217391,0.0451128,
40-instance-18, 40, 11, 0.014,0.267,0.208,34,10,0.375925,0.454545,0.133333,
40-instance-19, 40, 14, 0.019,0.422,0.398,31,13,0.40826,0.428571,0.257576,
40-instance-20, 40, 0, 0.008,0.105,9.29986e-314,41,1,0,0,1,
40-instance-21, 40, 19, 0.015,0.304,0.352,28,18,0.390323,0.421053,0.249573,
40-instance-22, 40, 8, 0.015,0.088,0.039,36,6,0.457791,0.5,0.166667,
40-instance-23, 40, 19, 0.016,0.488,0.618,32,15,0.382796,0.473684,0.0748768,
40-instance-24, 40, 13, 0.003,0.041,0.091,37,11,0,0.230769,0,
40-instance-25, 40, 5, 0.016,0.424,0.097,39,4,0.392026,0.4,0.333333,
40-instance-26, 40, 9, 0.013,0.257,0.127,38,8,0.472003,0.555556,0.2,
40-instance-27, 40, 20, 0.015,0.254,0.321,31,11,0.19516,0.25,0.0714286,
40-instance-28, 40, 9, 0.013,0.29,0.211,36,6,0.643103,0.666667,0.4,
40-instance-29, 40, 18, 0.018,0.399,0.858,30,15,0.352064,0.388889,0.11665,
40-instance-30, 40, 21, 0.02,0.415,0.816,27,19,0.363913,0.380952,0.215881,
40-instance-31, 40, 17, 0.016,0.44,0.322,33,13,0.172852,0.176471,0.1,
40-instance-32, 40, 20, 0.025,0.446,1.094,29,15,0.585909,0.6,0.398157,
40-instance-33, 40, 19, 0.021,0.404,0.81,28,15,0.279523,0.315789,0.0861111,
40-instance-34, 40, 18, 0.023,0.577,0.679,35,16,0,0.388889,0,
40-instance-35, 40, 14, 0.012,0.28,0.296,32,11,0.37095,0.428571,0.0971429,
40-instance-36, 40, 17, 0.013,0.342,0.4,34,12,0.152038,0.235294,0.0178571,
40-instance-37, 40, 18, 0.019,0.471,0.556,32,5,0,0.388889,0,
40-instance-38, 40, 23, 0.029,0.454,0.931,29,20,0.306845,0.391304,0.0913926,
40-instance-39, 40, 4, 0.001,0.016,0.005,40,4,0.25,0.25,0.25,
40-instance-40, 40, 11, 0.01,0.197,0.128,34,9,0.403004,0.454545,0.155556,
40-instance-41, 40, 2, 0.014,0.362,0.03,40,2,0.5,0.5,0.5,
40-instance-42, 40, 16, 0.017,0.362,0.416,32,14,0.471671,0.5,0.303478,
40-instance-43, 40, 9, 0.01,0.107,0.064,37,6,0,0.222222,0,
40-instance-44, 40, 18, 0.011,0.388,0.353,31,14,0.395754,0.444444,0.144697,
40-instance-45, 40, 18, 0.014,0.329,0.283,33,16,0.161196,0.166667,0.107143,
40-instance-46, 40, 14, 0.014,0.313,0.188,36,10,0.126544,0.142857,0.1,
40-instance-47, 40, 12, 0.004,0.085,0.082,35,10,0.344476,0.416667,0.0571429,
40-instance-48, 40, 23, 0.004,0.03,0.188,36,20,0.0719342,0.0869565,0.025,
40-instance-49, 40, 14, 0.012,0.149,0.175,34,11,0.258333,0.285714,0.138889,
