Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt100-23, 100, 0, 0.016,0.716,0,101,1,0,0,1,
wt100-24, 100, 0, 0.018,1.182,0,101,1,0,0,1,
wt100-25, 100, 7, 0.002,0.183,1.515,100,1000,0.857121,0.857143,0.849,
wt100-26, 100, 3, 0.008,0.488,0.062,100,6,0.333333,0.333333,0.333333,
wt100-27, 100, 14, 0.002,0.153,1.524,100,1000,0.928558,0.928571,0.919,
wt100-28, 100, 14, 0.004,0.258,2.028,98,1000,0.916838,0.917786,0.873,
wt100-29, 100, 6, 0.003,0.191,1.403,100,1000,0.8333,0.833333,0.821,
wt100-30, 100, 15, 0.025,2.411,37.496,97,1000,0.473049,0.579333,0.141,
wt100-31, 100, 0, 0.018,2.173,0,101,1,0,0,1,
wt100-32, 100, 13, 0.03,2.281,49.182,97,1000,0.552905,0.637846,0.174,
wt100-33, 100, 4, 0.029,2.289,0.884,99,24,0.402964,0.4375,0.25,
wt100-34, 100, 8, 0.016,2.387,27.355,98,1000,0.51632,0.59,0.256,
wt100-35, 100, 31, 0.034,2.601,80.822,92,1000,0.335561,0.508774,0.046,
wt100-36, 100, 7, 0.02,2.779,41.143,98,1000,0.277819,0.285714,0.2,
wt100-37, 100, 2, 0.03,2.794,0.083,100,2,0.5,0.5,0.5,
wt100-38, 100, 9, 0.021,2.96,41.466,98,1000,0.30404,0.333333,0.17,
wt100-39, 100, 0, 0.058,3.045,0,101,1,0,0,1,
wt100-40, 100, 20, 0.072,4.584,266.117,93,1000,0.534193,0.60795,0.154,
wt100-41, 100, 3, 0.056,3.852,0.504,100,6,0.666667,0.666667,0.666667,
wt100-42, 100, 7, 0.04,3.103,54.259,97,1000,0.428206,0.481,0.212,
wt100-43, 100, 7, 0.033,3.147,52.826,97,1000,0.56103,0.601857,0.214,
wt100-44, 100, 6, 0.075,5.126,102.599,99,1000,0.578266,0.613667,0.256,
wt100-45, 100, 2, 0.016,1.137,0.06,100,2,0.5,0.5,0.5,
wt100-46, 100, 0, 0.031,1.617,0,101,1,0,0,1,
wt100-47, 100, 3, 0.046,1.312,0.293,99,6,0.529134,0.555556,0.333333,
wt100-48, 100, 4, 0.016,1.099,0.818,99,24,0.402964,0.4375,0.25,
wt100-49, 100, 10, 0.02,0.847,33.541,96,1000,0.377598,0.487,0.142,
