Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
wt100-3, 100, 10, 0.02,1.544,24.132,98,1000,0,0.5968,0,
wt100-4, 100, 17, 0.021,1.726,26.39,97,1000,0.543322,0.715176,0.098,
wt100-5, 100, 21, 0.043,2.451,44.976,94,1000,0.401118,0.67081,0.006,
wt100-6, 100, 0, 0.026,2.526,0,101,1,0,0,1,
wt100-7, 100, 14, 0.024,2.37,30.128,97,1000,0,0.428571,0,
wt100-8, 100, 0, 0.031,2.413,0,101,1,0,0,1,
wt100-9, 100, 8, 0.028,2.274,30.365,97,1000,0,0.625,0,
wt100-10, 100, 0, 0.041,3.189,0,101,1,0,0,1,
wt100-11, 100, 17, 0.039,3.002,41.611,94,1000,0,0.371882,0,
wt100-12, 100, 0, 0.029,3.379,0,101,1,0,0,1,
wt100-13, 100, 5, 0.039,2.991,43.386,98,1000,0,0.4002,0,
wt100-14, 100, 7, 0.044,2.971,45.568,96,1000,0.539145,0.571429,0.322,
wt100-15, 100, 17, 0.062,3.244,56.597,95,1000,0,0.594,0,
wt100-16, 100, 4, 0.049,3.645,67.003,98,1000,0.480579,0.5,0.362,
wt100-17, 100, 4, 0.068,3.441,60.57,99,1000,0.163204,0.50675,0.027,
wt100-18, 100, 0, 0.05,3.61,0,101,1,0,0,1,
wt100-19, 100, 11, 0.031,3.01,36.087,95,1000,0,0.545455,0,
wt100-20, 100, 6, 0.043,1.439,33.126,97,1000,0.23866,0.392667,0.053,
wt100-21, 100, 0, 0.023,0.822,0,101,1,0,0,1,
wt100-22, 100, 0, 0.017,0.916,0,101,1,0,0,1,
wt100-23, 100, 0, 0.016,0.716,0,101,1,0,0,1,
wt100-24, 100, 0, 0.018,1.182,0,101,1,0,0,1,
wt100-25, 100, 7, 0.002,0.183,7.702,100,1000,0.857129,0.857143,0.851,
wt100-26, 100, 3, 0.008,0.488,19.512,100,1000,0.110285,0.333333,0.01,
wt100-27, 100, 14, 0.002,0.153,8.061,100,1000,0.928516,0.928571,0.904,
wt100-28, 100, 14, 0.004,0.258,8.308,98,1000,0,0.857143,0,
wt100-29, 100, 6, 0.003,0.191,7.634,100,1000,0.833008,0.833333,0.786,
wt100-30, 100, 15, 0.025,2.411,37.545,97,1000,0,0.563133,0,
wt100-31, 100, 0, 0.018,2.173,0,101,1,0,0,1,
wt100-32, 100, 13, 0.03,2.281,32.389,97,1000,0.346176,0.646,0.001,
wt100-33, 100, 4, 0.029,2.289,33.298,99,1000,0.326675,0.35775,0.214,
wt100-34, 100, 8, 0.016,2.387,29.717,98,1000,0,0.5,0,
wt100-35, 100, 31, 0.034,2.601,33.299,92,1000,0,0.519742,0,
wt100-36, 100, 7, 0.02,2.779,35.716,98,1000,0,0.285714,0,
wt100-37, 100, 2, 0.03,2.794,34.676,100,1000,0.499991,0.5,0.497,
wt100-38, 100, 9, 0.021,2.96,36.113,98,1000,0.212351,0.333333,0.019,
wt100-39, 100, 0, 0.058,3.045,0,101,1,0,0,1,
wt100-40, 100, 20, 0.072,4.584,77.658,93,1000,0,0.6,0,
wt100-41, 100, 3, 0.056,3.852,69.936,100,1000,0,0.666667,0,
wt100-42, 100, 7, 0.04,3.103,39.644,97,1000,0.23054,0.456429,0.035,
wt100-43, 100, 7, 0.033,3.147,51.969,97,1000,0.367899,0.572571,0.027,
wt100-44, 100, 6, 0.075,5.126,76.067,99,1000,0,0.664833,0,
wt100-45, 100, 2, 0.016,1.137,25.724,100,1000,0.0890842,0.5,0.008,
wt100-46, 100, 0, 0.031,1.617,0,101,1,0,0,1,
wt100-47, 100, 3, 0.046,1.312,49.917,99,1000,0.187681,0.361667,0.085,
wt100-48, 100, 4, 0.016,1.099,30.591,99,1000,0.115787,0.4875,0.004,
wt100-49, 100, 10, 0.02,0.847,27.247,96,1000,0,0.4091,0,
